format	fm-lint-telemetry-v1
git_head	d24e8c073ec727090c148797d2462502fa17edce
content_cksum	1990791522-86
shellcheck_version	0.11.0
analysis_mode	fast
jobs	2
root_count	1
direct_lines	2
direct_bytes	45
source_directives	0
source_boundary_directives	0
source_followed_directives	0
source_target_count	0
shard_1_weight_bytes	45
shard_2_weight_bytes	0
wall_seconds	0
worker_wall_sum_seconds	0.04
max_worker_wall_seconds	0.03
user_seconds	0.00
system_seconds	0.00
max_worker_rss_kib	24096
worker_rss_sum_kib	31376
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	5.13/3.99/3.34
load_average_end	5.13/3.99/3.34
aggregate_cpu_percent_start	70.90
aggregate_cpu_percent_end	70.90
result_exit	0
